# file...... b2m3_house_data.csv
# date...... Thu Jun  9 10:40:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 22:04:00 PDT,+91.6396,+72.97,+0,+75,+1572.46,+23833.7
2009-08-08 22:05:00 PDT,+91.6106,+72.952,+0,+75,+1572.46,+23859.9
2009-08-08 22:06:00 PDT,+91.5815,+72.934,+0,+75,+1572.46,+23886.1
2009-08-08 22:07:00 PDT,+91.5523,+72.916,+0,+75,+1572.46,+23912.3
2009-08-08 22:08:00 PDT,+91.5229,+72.898,+0,+75,+1572.46,+23938.5
2009-08-08 22:09:00 PDT,+91.4935,+72.88,+0,+75,+1572.46,+23964.7
2009-08-08 22:10:00 PDT,+91.464,+72.862,+0,+75,+1572.46,+23990.9
2009-08-08 22:11:00 PDT,+91.4345,+72.844,+0,+75,+1572.46,+24017.1
2009-08-08 22:12:00 PDT,+91.4049,+72.826,+0,+75,+1572.46,+24043.3
2009-08-08 22:13:00 PDT,+91.3753,+72.808,+0,+75,+1572.46,+24069.5
2009-08-08 22:14:00 PDT,+91.3457,+72.79,+0,+75,+1572.46,+24095.7
2009-08-08 22:15:00 PDT,+91.3161,+72.772,+0,+75,+1572.46,+24122
2009-08-08 22:16:00 PDT,+91.2865,+72.754,+0,+75,+1572.46,+24148.2
2009-08-08 22:17:00 PDT,+91.2568,+72.736,+0,+75,+1572.46,+24174.4
2009-08-08 22:18:00 PDT,+91.2272,+72.718,+0,+75,+1572.46,+24200.6
2009-08-08 22:19:00 PDT,+91.1977,+72.7,+0,+75,+1572.46,+24226.8
2009-08-08 22:20:00 PDT,+91.1681,+72.682,+0,+75,+1572.46,+24253
2009-08-08 22:21:00 PDT,+91.1385,+72.664,+0,+75,+1572.46,+24279.2
2009-08-08 22:22:00 PDT,+91.109,+72.646,+0,+75,+1572.46,+24305.4
2009-08-08 22:23:00 PDT,+91.0795,+72.628,+0,+75,+1572.46,+24331.6
2009-08-08 22:24:00 PDT,+91.05,+72.61,+0,+75,+1572.46,+24357.8
2009-08-08 22:25:00 PDT,+91.0205,+72.592,+0,+75,+1572.46,+24384
2009-08-08 22:26:00 PDT,+90.991,+72.574,+0,+75,+1572.46,+24410.2
2009-08-08 22:27:00 PDT,+90.9616,+72.556,+0,+75,+1572.46,+24436.4
2009-08-08 22:28:00 PDT,+90.9322,+72.538,+0,+75,+1572.46,+24462.7
2009-08-08 22:29:00 PDT,+90.9028,+72.52,+0,+75,+1572.46,+24488.9
2009-08-08 22:30:00 PDT,+90.8735,+72.502,+0,+75,+1572.46,+24515.1
2009-08-08 22:31:00 PDT,+90.8441,+72.484,+0,+75,+1572.46,+24541.3
2009-08-08 22:32:00 PDT,+90.8148,+72.466,+0,+75,+1572.46,+24567.5
2009-08-08 22:33:00 PDT,+90.7855,+72.448,+0,+75,+1572.46,+24593.7
2009-08-08 22:34:00 PDT,+90.7563,+72.43,+0,+75,+1572.46,+24619.9
2009-08-08 22:35:00 PDT,+90.727,+72.412,+0,+75,+1274.88,+24646.1
2009-08-08 22:36:00 PDT,+90.6919,+72.394,+0,+75,+1274.88,+24667.4
2009-08-08 22:37:00 PDT,+90.6574,+72.376,+0,+75,+1274.88,+24688.6
2009-08-08 22:38:00 PDT,+90.6235,+72.358,+0,+75,+1274.88,+24709.9
2009-08-08 22:39:00 PDT,+90.5901,+72.34,+0,+75,+1274.88,+24731.1
2009-08-08 22:40:00 PDT,+90.557,+72.322,+0,+75,+1274.88,+24752.4
2009-08-08 22:41:00 PDT,+90.5243,+72.304,+0,+75,+1274.88,+24773.6
2009-08-08 22:42:00 PDT,+90.4919,+72.286,+0,+75,+1274.88,+24794.8
2009-08-08 22:43:00 PDT,+90.4597,+72.268,+0,+75,+1274.88,+24816.1
