# file...... HVAC_Data.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,sum(hvac_power.real),sum(hvac_power.imag),sum(is_HEAT_on),sum(is_AUX_on),sum(is_COOL_on) 
2000-08-01 03:31:00 PDT,+13.2141,+3.85412,+44,+0,+0
2000-08-01 03:32:00 PDT,+11.0895,+3.23444,+36,+0,+0
2000-08-01 03:33:00 PDT,+12.9855,+3.78744,+43,+0,+0
2000-08-01 03:34:00 PDT,+14.5692,+4.24934,+48,+0,+0
2000-08-01 03:35:00 PDT,+13.5173,+3.94255,+45,+0,+0
2000-08-01 03:36:00 PDT,+16.0575,+4.68345,+53,+0,+0
2000-08-01 03:37:00 PDT,+15.4273,+4.49962,+50,+0,+0
2000-08-01 03:38:00 PDT,+13.6257,+3.97415,+45,+0,+0
2000-08-01 03:39:00 PDT,+12.4614,+3.63457,+41,+0,+0
2000-08-01 03:40:00 PDT,+12.7903,+3.73051,+43,+0,+0
2000-08-01 03:41:00 PDT,+13.6429,+3.97919,+46,+0,+0
2000-08-01 03:42:00 PDT,+14.2649,+4.16058,+48,+0,+0
2000-08-01 03:43:00 PDT,+14.6956,+4.28622,+50,+0,+0
2000-08-01 03:44:00 PDT,+15.1165,+4.40898,+51,+0,+0
2000-08-01 03:45:00 PDT,+16.5976,+4.84097,+55,+0,+0
2000-08-01 03:46:00 PDT,+13.8558,+4.04127,+46,+0,+0
2000-08-01 03:47:00 PDT,+12.2774,+3.58091,+41,+0,+0
2000-08-01 03:48:00 PDT,+12.6952,+3.70277,+43,+0,+0
2000-08-01 03:49:00 PDT,+8.78329,+2.56179,+31,+0,+0
2000-08-01 03:50:00 PDT,+10.5831,+3.08674,+37,+0,+0
2000-08-01 03:51:00 PDT,+12.7945,+3.73172,+44,+0,+0
2000-08-01 03:52:00 PDT,+12.4694,+3.6369,+43,+0,+0
2000-08-01 03:53:00 PDT,+17.1324,+4.99696,+57,+0,+0
2000-08-01 03:54:00 PDT,+19.3683,+5.64908,+64,+0,+0
2000-08-01 03:55:00 PDT,+15.6709,+4.57069,+51,+0,+0
2000-08-01 03:56:00 PDT,+13.553,+3.95296,+44,+0,+0
2000-08-01 03:57:00 PDT,+12.0729,+3.52127,+40,+0,+0
2000-08-01 03:58:00 PDT,+11.5482,+3.36823,+39,+0,+0
2000-08-01 03:59:00 PDT,+13.3483,+3.89326,+45,+0,+0
2000-08-01 04:00:00 PDT,+14.29,+4.16793,+48,+0,+0
2000-08-01 04:01:00 PDT,+15.0162,+4.37974,+49,+0,+0
2000-08-01 04:02:00 PDT,+15.2246,+4.44051,+50,+0,+0
2000-08-01 04:03:00 PDT,+16.2019,+4.72555,+53,+0,+0
2000-08-01 04:04:00 PDT,+14.1931,+4.13966,+46,+0,+0
2000-08-01 04:05:00 PDT,+13.1326,+3.83034,+43,+0,+0
2000-08-01 04:06:00 PDT,+11.0093,+3.21106,+37,+0,+0
2000-08-01 04:07:00 PDT,+12.3785,+3.6104,+43,+0,+0
2000-08-01 04:08:00 PDT,+11.644,+3.39617,+40,+0,+0
2000-08-01 04:09:00 PDT,+13.9647,+4.07303,+46,+0,+0
2000-08-01 04:10:00 PDT,+15.8612,+4.62617,+53,+0,+0
2000-08-01 04:11:00 PDT,+14.2923,+4.16859,+47,+0,+0
2000-08-01 04:12:00 PDT,+13.8793,+4.04812,+46,+0,+0
2000-08-01 04:13:00 PDT,+13.6572,+3.98336,+46,+0,+0
2000-08-01 04:14:00 PDT,+12.1709,+3.54985,+40,+0,+0
2000-08-01 04:15:00 PDT,+10.789,+3.14679,+36,+0,+0
2000-08-01 04:16:00 PDT,+10.794,+3.14825,+37,+0,+0
2000-08-01 04:17:00 PDT,+12.5937,+3.67317,+42,+0,+0
2000-08-01 04:18:00 PDT,+13.7585,+4.01289,+45,+0,+0
2000-08-01 04:19:00 PDT,+13.8619,+4.04305,+45,+0,+0
2000-08-01 04:20:00 PDT,+14.3944,+4.19837,+48,+0,+0
2000-08-01 04:21:00 PDT,+12.9101,+3.76546,+44,+0,+0
2000-08-01 04:22:00 PDT,+11.2175,+3.27177,+39,+0,+0
2000-08-01 04:23:00 PDT,+11.2241,+3.2737,+40,+0,+0
2000-08-01 04:24:00 PDT,+11.5434,+3.36682,+40,+0,+0
2000-08-01 04:25:00 PDT,+11.4326,+3.33452,+38,+0,+0
2000-08-01 04:26:00 PDT,+13.4427,+3.92079,+44,+0,+0
2000-08-01 04:27:00 PDT,+15.8793,+4.63146,+51,+0,+0
2000-08-01 04:28:00 PDT,+15.8766,+4.63067,+50,+0,+0
2000-08-01 04:29:00 PDT,+15.7684,+4.59913,+50,+0,+0
2000-08-01 04:30:00 PDT,+16.6154,+4.84615,+54,+0,+0
2000-08-01 04:31:00 PDT,+15.5402,+4.53257,+51,+0,+0
2000-08-01 04:32:00 PDT,+13.3189,+3.88468,+44,+0,+0
2000-08-01 04:33:00 PDT,+12.6905,+3.70139,+43,+0,+0
2000-08-01 04:34:00 PDT,+12.0533,+3.51555,+42,+0,+0
2000-08-01 04:35:00 PDT,+13.5412,+3.94951,+47,+0,+0
2000-08-01 04:36:00 PDT,+15.6525,+4.5653,+53,+0,+0
2000-08-01 04:37:00 PDT,+14.2879,+4.16731,+49,+0,+0
2000-08-01 04:38:00 PDT,+13.5528,+3.95289,+46,+0,+0
2000-08-01 04:39:00 PDT,+13.3361,+3.8897,+45,+0,+0
2000-08-01 04:40:00 PDT,+13.2382,+3.86113,+44,+0,+0
2000-08-01 04:41:00 PDT,+13.2374,+3.86091,+44,+0,+0
2000-08-01 04:42:00 PDT,+12.8098,+3.73619,+42,+0,+0
2000-08-01 04:43:00 PDT,+11.6527,+3.3987,+38,+0,+0
2000-08-01 04:44:00 PDT,+12.0708,+3.52065,+39,+0,+0
2000-08-01 04:45:00 PDT,+14.2019,+4.14222,+47,+0,+0
2000-08-01 04:46:00 PDT,+11.3384,+3.30704,+38,+0,+0
2000-08-01 04:47:00 PDT,+9.8551,+2.8744,+33,+0,+0
2000-08-01 04:48:00 PDT,+11.6509,+3.39817,+39,+0,+0
2000-08-01 04:49:00 PDT,+13.3476,+3.89305,+45,+0,+0
2000-08-01 04:50:00 PDT,+11.7548,+3.42849,+39,+0,+0
2000-08-01 04:51:00 PDT,+10.8989,+3.17884,+37,+0,+0
2000-08-01 04:52:00 PDT,+10.2665,+2.99441,+35,+0,+0
2000-08-01 04:53:00 PDT,+9.32934,+2.72106,+31,+0,+0
2000-08-01 04:54:00 PDT,+10.8142,+3.15413,+36,+0,+0
2000-08-01 04:55:00 PDT,+8.58698,+2.50454,+29,+0,+0
2000-08-01 04:56:00 PDT,+9.09627,+2.65308,+30,+0,+0
2000-08-01 04:57:00 PDT,+10.1496,+2.9603,+34,+0,+0
2000-08-01 04:58:00 PDT,+9.30089,+2.71276,+31,+0,+0
2000-08-01 04:59:00 PDT,+8.97805,+2.6186,+29,+0,+0
2000-08-01 05:00:00 PDT,+6.76068,+1.97186,+22,+0,+0
2000-08-01 05:01:00 PDT,+8.76188,+2.55555,+28,+0,+0
2000-08-01 05:02:00 PDT,+12.2474,+3.57216,+40,+0,+0
2000-08-01 05:03:00 PDT,+13.1875,+3.84634,+43,+0,+0
2000-08-01 05:04:00 PDT,+9.28372,+2.70775,+30,+0,+0
2000-08-01 05:05:00 PDT,+7.39602,+2.15717,+24,+0,+0
2000-08-01 05:06:00 PDT,+7.50703,+2.18955,+24,+0,+0
2000-08-01 05:07:00 PDT,+7.82647,+2.28272,+25,+0,+0
2000-08-01 05:08:00 PDT,+8.14638,+2.37603,+26,+0,+0
2000-08-01 05:09:00 PDT,+7.6157,+2.22125,+24,+0,+0
2000-08-01 05:10:00 PDT,+7.60738,+2.21882,+24,+0,+0
2000-08-01 05:11:00 PDT,+6.97288,+2.03376,+22,+0,+0
2000-08-01 05:12:00 PDT,+6.44867,+1.88086,+20,+0,+0
2000-08-01 05:13:00 PDT,+5.70271,+1.66329,+18,+0,+0
2000-08-01 05:14:00 PDT,+4.54499,+1.32562,+15,+0,+0
2000-08-01 05:15:00 PDT,+7.61138,+2.21999,+25,+0,+0
2000-08-01 05:16:00 PDT,+6.12543,+1.78658,+20,+0,+0
2000-08-01 05:17:00 PDT,+4.33031,+1.26301,+14,+0,+0
2000-08-01 05:18:00 PDT,+6.55334,+1.91139,+21,+0,+0
2000-08-01 05:19:00 PDT,+5.70423,+1.66373,+18,+0,+0
2000-08-01 05:20:00 PDT,+6.02147,+1.75626,+19,+0,+0
2000-08-01 05:21:00 PDT,+5.59809,+1.63278,+18,+0,+0
2000-08-01 05:22:00 PDT,+5.59567,+1.63207,+18,+0,+0
2000-08-01 05:23:00 PDT,+6.96611,+2.03178,+22,+0,+0
2000-08-01 05:24:00 PDT,+6.32942,+1.84608,+20,+0,+0
2000-08-01 05:25:00 PDT,+4.4282,+1.29156,+14,+0,+0
2000-08-01 05:26:00 PDT,+3.16425,+0.922907,+10,+0,+0
2000-08-01 05:27:00 PDT,+4.11321,+1.19969,+13,+0,+0
2000-08-01 05:28:00 PDT,+4.7465,+1.38439,+15,+0,+0
2000-08-01 05:29:00 PDT,+5.58571,+1.62917,+18,+0,+0
2000-08-01 05:30:00 PDT,+4.31419,+1.25831,+14,+0,+0
2000-08-01 05:31:00 PDT,+3.67645,+1.0723,+12,+0,+0
2000-08-01 05:32:00 PDT,+2.41569,+0.704576,+8,+0,+0
2000-08-01 05:33:00 PDT,+2.73565,+0.797897,+9,+0,+0
