# file...... HVAC_Data2.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,avg(cooling_setpoint),sum(hvac_load)
2000-08-01 05:30:00 PDT,+72.5457,+4.33815
2000-08-01 05:31:00 PDT,+72.5457,+3.70227
2000-08-01 05:32:00 PDT,+72.5457,+2.43288
2000-08-01 05:33:00 PDT,+72.5457,+2.75099
2000-08-01 05:34:00 PDT,+72.5457,+4.0217
2000-08-01 05:35:00 PDT,+72.5457,+4.02166
2000-08-01 05:36:00 PDT,+72.5457,+3.49142
2000-08-01 05:37:00 PDT,+72.5457,+3.49114
2000-08-01 05:38:00 PDT,+72.5457,+3.91347
2000-08-01 05:39:00 PDT,+72.5457,+3.49169
2000-08-01 05:40:00 PDT,+72.5457,+3.17487
2000-08-01 05:41:00 PDT,+72.5457,+1.90486
2000-08-01 05:42:00 PDT,+72.5457,+2.22151
2000-08-01 05:43:00 PDT,+72.5457,+2.5384
2000-08-01 05:44:00 PDT,+72.5457,+1.90293
2000-08-01 05:45:00 PDT,+72.5457,+1.5863
2000-08-01 05:46:00 PDT,+72.5457,+0.634593
2000-08-01 05:47:00 PDT,+72.5457,+0.952024
2000-08-01 05:48:00 PDT,+72.5457,+1.26964
2000-08-01 05:49:00 PDT,+72.5457,+1.9041
2000-08-01 05:50:00 PDT,+72.5457,+1.58681
2000-08-01 05:51:00 PDT,+72.5457,+1.5873
2000-08-01 05:52:00 PDT,+72.5457,+0.952499
2000-08-01 05:53:00 PDT,+72.5457,+0.635201
2000-08-01 05:54:00 PDT,+72.5457,+0.634944
2000-08-01 05:55:00 PDT,+72.5457,+0.317525
2000-08-01 05:56:00 PDT,+72.5457,+1.26986
2000-08-01 05:57:00 PDT,+72.5457,+1.27
2000-08-01 05:58:00 PDT,+72.5457,+1.58693
2000-08-01 05:59:00 PDT,+72.5457,+1.58642
2000-08-01 06:00:00 PDT,+71.8248,+0.317091
2000-08-01 06:01:00 PDT,+71.8248,+0.422657
2000-08-01 06:02:00 PDT,+71.8248,+6.09787
2000-08-01 06:03:00 PDT,+71.8248,+6.10454
2000-08-01 06:04:00 PDT,+71.8248,+5.6988
2000-08-01 06:05:00 PDT,+71.8286,+0
2000-08-01 06:06:00 PDT,+71.8286,+0
2000-08-01 06:07:00 PDT,+71.8286,+0.317441
2000-08-01 06:08:00 PDT,+71.8286,+0.317426
2000-08-01 06:09:00 PDT,+71.8286,+0
2000-08-01 06:10:00 PDT,+71.8286,+0
2000-08-01 06:11:00 PDT,+71.8286,+0
2000-08-01 06:12:00 PDT,+71.8286,+0
2000-08-01 06:13:00 PDT,+71.8286,+0
2000-08-01 06:14:00 PDT,+71.8286,+0
2000-08-01 06:15:00 PDT,+71.4566,+0
2000-08-01 06:16:00 PDT,+71.4566,+0
2000-08-01 06:17:00 PDT,+71.4566,+2.64015
2000-08-01 06:18:00 PDT,+71.4566,+2.64262
2000-08-01 06:19:00 PDT,+71.4566,+2.64535
2000-08-01 06:20:00 PDT,+71.4566,+0
2000-08-01 06:21:00 PDT,+71.4566,+0
2000-08-01 06:22:00 PDT,+71.4566,+0.211695
2000-08-01 06:23:00 PDT,+71.4566,+0.211691
2000-08-01 06:24:00 PDT,+71.4566,+0
2000-08-01 06:25:00 PDT,+71.4566,+3.1608
2000-08-01 06:26:00 PDT,+71.4566,+5.82424
2000-08-01 06:27:00 PDT,+71.4566,+5.82928
2000-08-01 06:28:00 PDT,+71.4566,+10.3388
2000-08-01 06:29:00 PDT,+71.4566,+7.67947
2000-08-01 06:30:00 PDT,+71.4566,+4.51257
2000-08-01 06:31:00 PDT,+71.4566,+4.72794
2000-08-01 06:32:00 PDT,+71.4566,+3.12015
2000-08-01 06:33:00 PDT,+71.4566,+2.90993
2000-08-01 06:34:00 PDT,+71.4566,+3.01799
2000-08-01 06:35:00 PDT,+71.4566,+3.01947
2000-08-01 06:36:00 PDT,+71.4566,+2.70398
2000-08-01 06:37:00 PDT,+71.4566,+0
2000-08-01 06:38:00 PDT,+71.4566,+0
2000-08-01 06:39:00 PDT,+71.4566,+6.32363
2000-08-01 06:40:00 PDT,+71.4566,+6.32711
2000-08-01 06:41:00 PDT,+71.4566,+6.11969
2000-08-01 06:42:00 PDT,+71.4566,+8.15587
2000-08-01 06:43:00 PDT,+71.4566,+8.15885
2000-08-01 06:44:00 PDT,+71.4566,+4.93998
2000-08-01 06:45:00 PDT,+71.4566,+4.94328
2000-08-01 06:46:00 PDT,+71.4566,+5.05556
2000-08-01 06:47:00 PDT,+71.4566,+19.4964
2000-08-01 06:48:00 PDT,+71.4566,+22.2004
2000-08-01 06:49:00 PDT,+71.4566,+25.5198
2000-08-01 06:50:00 PDT,+71.4566,+20.4631
2000-08-01 06:51:00 PDT,+71.4566,+6.52242
2000-08-01 06:52:00 PDT,+71.4566,+3.62951
2000-08-01 06:53:00 PDT,+71.4566,+5.02143
2000-08-01 06:54:00 PDT,+71.4566,+11.466
2000-08-01 06:55:00 PDT,+71.9654,+14.8529
2000-08-01 06:56:00 PDT,+71.9654,+14.644
2000-08-01 06:57:00 PDT,+71.9654,+13.4972
2000-08-01 06:58:00 PDT,+71.9654,+9.6767
2000-08-01 06:59:00 PDT,+71.9654,+9.80423
2000-08-01 07:00:00 PDT,+72.7071,+7.41292
2000-08-01 07:01:00 PDT,+72.7071,+4.29917
2000-08-01 07:02:00 PDT,+72.7071,+3.3009
2000-08-01 07:03:00 PDT,+72.7071,+2.97968
2000-08-01 07:04:00 PDT,+72.7071,+2.76581
2000-08-01 07:05:00 PDT,+72.8376,+0
2000-08-01 07:06:00 PDT,+72.8376,+0
2000-08-01 07:07:00 PDT,+72.8376,+0
2000-08-01 07:08:00 PDT,+72.8376,+0
2000-08-01 07:09:00 PDT,+72.8376,+0
2000-08-01 07:10:00 PDT,+72.8376,+0
2000-08-01 07:11:00 PDT,+72.8376,+0
2000-08-01 07:12:00 PDT,+72.8376,+0
2000-08-01 07:13:00 PDT,+72.8376,+0
2000-08-01 07:14:00 PDT,+72.8376,+0
2000-08-01 07:15:00 PDT,+72.8376,+0
2000-08-01 07:16:00 PDT,+72.8376,+0
2000-08-01 07:17:00 PDT,+72.8376,+0
2000-08-01 07:18:00 PDT,+72.8376,+0
2000-08-01 07:19:00 PDT,+72.8376,+0
2000-08-01 07:20:00 PDT,+72.8376,+0
2000-08-01 07:21:00 PDT,+72.8376,+0
2000-08-01 07:22:00 PDT,+72.8376,+0
2000-08-01 07:23:00 PDT,+72.8376,+0
2000-08-01 07:24:00 PDT,+72.8376,+0
2000-08-01 07:25:00 PDT,+72.8376,+0
2000-08-01 07:26:00 PDT,+72.8376,+0
2000-08-01 07:27:00 PDT,+72.8376,+0
2000-08-01 07:28:00 PDT,+72.8376,+0
2000-08-01 07:29:00 PDT,+72.8376,+0
2000-08-01 07:30:00 PDT,+72.8376,+0
2000-08-01 07:31:00 PDT,+72.8376,+0
2000-08-01 07:32:00 PDT,+72.8376,+0
2000-08-01 07:33:00 PDT,+72.8376,+0
2000-08-01 07:34:00 PDT,+72.8376,+0
2000-08-01 07:35:00 PDT,+72.8376,+0
2000-08-01 07:36:00 PDT,+72.8376,+0
2000-08-01 07:37:00 PDT,+72.8376,+3.19733
2000-08-01 07:38:00 PDT,+72.8376,+3.19646
2000-08-01 07:39:00 PDT,+72.8376,+3.19641
2000-08-01 07:40:00 PDT,+72.8376,+3.19593
2000-08-01 07:41:00 PDT,+72.8376,+3.19561
2000-08-01 07:42:00 PDT,+72.8376,+0
2000-08-01 07:43:00 PDT,+72.8376,+0
2000-08-01 07:44:00 PDT,+72.8376,+0
2000-08-01 07:45:00 PDT,+72.8376,+0
2000-08-01 07:46:00 PDT,+72.8376,+0
2000-08-01 07:47:00 PDT,+72.8376,+4.4649
2000-08-01 07:48:00 PDT,+72.8376,+4.46408
2000-08-01 07:49:00 PDT,+72.8376,+4.4652
2000-08-01 07:50:00 PDT,+72.8376,+4.46622
2000-08-01 07:51:00 PDT,+72.8376,+5.8754
2000-08-01 07:52:00 PDT,+72.8376,+5.87602
2000-08-01 07:53:00 PDT,+72.8376,+5.87738
2000-08-01 07:54:00 PDT,+72.8376,+9.90768
2000-08-01 07:55:00 PDT,+72.8376,+7.40506
