# file...... output.csv
# date...... Thu Sep 03 17:42:37 2009
# user...... D3G637
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(panel.power.real),sum(panel.power.imag)
2009-08-02 18:00:00 PDT,1169.67,10.9844
2009-08-02 19:00:00 PDT,1162.8,10.6357
2009-08-02 19:00:57 PDT,1149.22,10.6357
2009-08-02 19:01:22 PDT,1162.8,10.6357
2009-08-02 19:01:47 PDT,1149.22,10.6357
2009-08-02 19:02:12 PDT,1162.8,10.6357
2009-08-02 19:02:37 PDT,1149.22,10.6357
2009-08-02 19:03:02 PDT,1162.8,10.6357
2009-08-02 19:03:27 PDT,1149.22,10.6357
2009-08-02 19:03:53 PDT,1162.8,10.6357
2009-08-02 19:03:55 PDT,1148.26,10.6357
2009-08-02 19:04:09 PDT,1135.62,10.6357
2009-08-02 19:04:41 PDT,1148.26,10.6357
2009-08-02 19:05:13 PDT,1135.62,10.6357
2009-08-02 19:05:20 PDT,1124.01,10.6357
2009-08-02 19:05:51 PDT,1135.62,10.6357
2009-08-02 19:06:22 PDT,1124.01,10.6357
2009-08-02 19:06:53 PDT,1135.62,10.6357
2009-08-02 19:07:24 PDT,1124.01,10.6357
2009-08-02 19:07:56 PDT,1135.62,10.6357
2009-08-02 19:08:27 PDT,1124.01,10.6357
2009-08-02 19:08:58 PDT,1135.62,10.6357
2009-08-02 19:09:29 PDT,1124.01,10.6357
2009-08-02 19:10:00 PDT,1135.62,10.6357
2009-08-02 19:10:31 PDT,1124.01,10.6357
2009-08-02 19:11:03 PDT,1135.62,10.6357
2009-08-02 19:11:34 PDT,1124.01,10.6357
2009-08-02 19:12:05 PDT,1135.62,10.6357
2009-08-02 19:12:36 PDT,1124.01,10.6357
2009-08-02 19:13:08 PDT,1135.62,10.6357
2009-08-02 19:13:39 PDT,1124.01,10.6357
2009-08-02 19:14:10 PDT,1135.62,10.6357
2009-08-02 19:14:11 PDT,1123.58,10.6357
2009-08-02 19:14:44 PDT,1135.62,10.6357
2009-08-02 19:15:17 PDT,1123.58,10.6357
2009-08-02 19:15:51 PDT,1135.62,10.6357
2009-08-02 19:16:25 PDT,1123.58,10.6357
2009-08-02 19:16:47 PDT,1111.25,10.6357
2009-08-02 19:17:14 PDT,1123.58,10.6357
2009-08-02 19:17:41 PDT,1111.25,10.6357
2009-08-02 19:18:09 PDT,1123.58,10.6357
2009-08-02 19:18:18 PDT,1112.33,10.6357
2009-08-02 19:18:49 PDT,1123.58,10.6357
2009-08-02 19:19:20 PDT,1112.33,10.6357
2009-08-02 19:19:51 PDT,1123.58,10.6357
