# file...... voltage_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:33:55 PDT,-1,+7216-0.000143877d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213579d,+7149.22-0.275228d,+123.204-0.248664d,+123.197-0.235772d,+123.127-0.300459d
2009-08-08 04:34:00 PDT,-1,+7216-0.000143858d,+7171.18-0.000143982d,+7155.51-0.177812d,+7153.45-0.213548d,+7149.23-0.275198d,+123.204-0.248615d,+123.197-0.235741d,+123.127-0.300428d
2009-08-08 04:34:05 PDT,-1,+7216-0.000143863d,+7171.18-0.000143986d,+7155.51-0.177812d,+7153.45-0.213548d,+7149.23-0.275198d,+123.204-0.248615d,+123.197-0.235741d,+123.127-0.300428d
2009-08-08 04:34:10 PDT,-1,+7216-0.000143863d,+7171.18-0.000143986d,+7155.51-0.177812d,+7153.45-0.213548d,+7149.23-0.275198d,+123.204-0.248615d,+123.197-0.235741d,+123.127-0.300428d
2009-08-08 04:34:15 PDT,-1,+7216-0.000143863d,+7171.18-0.000143987d,+7155.51-0.177812d,+7153.45-0.213549d,+7149.23-0.275198d,+123.204-0.248615d,+123.197-0.235742d,+123.127-0.300428d
2009-08-08 04:34:20 PDT,-1,+7216-0.000143863d,+7171.18-0.000143987d,+7155.51-0.177812d,+7153.45-0.213549d,+7149.23-0.275198d,+123.204-0.248615d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:25 PDT,-1,+7216-0.000143863d,+7171.18-0.000143987d,+7155.51-0.177812d,+7153.45-0.213549d,+7149.23-0.275198d,+123.204-0.248615d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:30 PDT,-1,+7216-0.000143863d,+7171.18-0.000143987d,+7155.51-0.177812d,+7153.45-0.213549d,+7149.23-0.275198d,+123.204-0.248616d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:35 PDT,-1,+7216-0.000143863d,+7171.18-0.000143987d,+7155.51-0.177812d,+7153.45-0.213549d,+7149.23-0.275198d,+123.204-0.248616d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:40 PDT,-1,+7216-0.000143863d,+7171.18-0.000143987d,+7155.51-0.177812d,+7153.45-0.213549d,+7149.22-0.275198d,+123.204-0.248616d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:45 PDT,-1,+7216-0.000143864d,+7171.18-0.000143987d,+7155.51-0.177813d,+7153.45-0.213549d,+7149.22-0.275199d,+123.204-0.248616d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:50 PDT,-1,+7216-0.000143864d,+7171.18-0.000143987d,+7155.51-0.177813d,+7153.45-0.213549d,+7149.22-0.275199d,+123.204-0.248616d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:34:55 PDT,-1,+7216-0.000143864d,+7171.18-0.000143987d,+7155.51-0.177813d,+7153.45-0.213549d,+7149.22-0.275199d,+123.204-0.248617d,+123.197-0.235742d,+123.127-0.300429d
2009-08-08 04:35:00 PDT,-1,+7216-0.000143845d,+7171.18-0.000143969d,+7155.52-0.177782d,+7153.45-0.213519d,+7149.23-0.275168d,+123.204-0.248567d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:05 PDT,-1,+7216-0.000143845d,+7171.18-0.000143969d,+7155.52-0.177782d,+7153.45-0.213519d,+7149.23-0.275168d,+123.204-0.248567d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:10 PDT,-1,+7216-0.000143845d,+7171.18-0.000143969d,+7155.52-0.177782d,+7153.45-0.213519d,+7149.23-0.275168d,+123.204-0.248567d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:15 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.52-0.177783d,+7153.45-0.213519d,+7149.23-0.275169d,+123.204-0.248567d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:20 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.52-0.177783d,+7153.45-0.213519d,+7149.23-0.275169d,+123.204-0.248568d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:25 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.213519d,+7149.23-0.275169d,+123.204-0.248568d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:30 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.213519d,+7149.23-0.275169d,+123.204-0.248568d,+123.197-0.235712d,+123.127-0.300399d
2009-08-08 04:35:35 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.21352d,+7149.23-0.275169d,+123.204-0.248568d,+123.197-0.235713d,+123.127-0.300399d
2009-08-08 04:35:40 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.21352d,+7149.23-0.275169d,+123.204-0.248568d,+123.197-0.235713d,+123.127-0.300399d
